Date,N,WG,WR,LF,LT,GS,CloudTrans
25/08/2019 23:00,0.000000,1.233333,301.263724,97.050000,14.316667,0.000000,-9999.000000
26/08/2019 00:00,0.100000,0.700000,304.130979,97.383333,13.500000,0.000000,-9999.000000
26/08/2019 01:00,0.000000,0.383333,293.888432,97.750000,12.433333,0.000000,-9999.000000
26/08/2019 02:00,0.000000,0.616667,282.426880,98.083333,12.150000,0.000000,-9999.000000
26/08/2019 03:00,0.000000,0.816667,290.623041,98.183333,12.350000,0.000000,-9999.000000
26/08/2019 04:00,0.000000,0.733333,286.188255,98.100000,12.316667,0.000000,-9999.000000
26/08/2019 05:00,0.000000,0.466667,273.520281,98.033333,11.650000,1.983333,0.227335
26/08/2019 06:00,0.000000,0.633333,298.986446,98.200000,11.816667,85.600000,0.227335
26/08/2019 07:00,0.000000,0.933333,290.953523,96.116667,13.800000,289.716667,0.227335
26/08/2019 08:00,0.000000,0.750000,294.445038,84.566667,16.483333,412.566667,0.369133
26/08/2019 09:00,0.000000,0.550000,265.473567,74.416667,18.750000,421.183333,0.369133
26/08/2019 10:00,0.000000,0.516667,59.317609,72.816667,19.083333,255.150000,0.369133
26/08/2019 11:00,0.000000,0.866667,66.506160,71.966667,20.133333,311.233333,0.369133
26/08/2019 12:00,0.000000,1.250000,71.735216,64.716667,21.816667,491.683333,0.864797
26/08/2019 13:00,0.000000,0.616667,26.046661,62.233333,22.933333,598.216667,0.864797
26/08/2019 14:00,0.000000,1.983333,135.419533,57.750000,24.700000,812.266667,0.864797
26/08/2019 15:00,0.000000,3.600000,103.997154,57.033333,24.633333,503.433333,0.864797
26/08/2019 16:00,0.000000,2.233333,66.042419,57.900000,22.200000,277.816667,0.864797
26/08/2019 17:00,0.000000,2.933333,104.763119,66.683333,20.166667,113.766667,0.815376
26/08/2019 18:00,0.000000,1.100000,70.350720,76.133333,19.016667,16.183333,0.765956
26/08/2019 19:00,0.000000,1.016667,61.045418,85.350000,18.000000,1.700000,0.716536
26/08/2019 20:00,0.000000,0.933333,81.976294,92.150000,16.766667,0.000000,0.667116
26/08/2019 21:00,0.000000,0.916667,272.666779,93.800000,15.566667,0.000000,0.617696
26/08/2019 22:00,0.000000,0.650000,296.082318,95.466667,14.283333,0.000000,0.568275
