Date,LF,LT,WG,WR
01/10/2017 00:00,100.5,-1.5,2.2,45
01/10/2017 01:00,100.483333333333,-1.61666666666667,2.28585537904564,48.2492631682816
01/10/2017 02:00,100.216666666667,-1.66666666666667,1.91437335184514,47.0923179050502
01/10/2017 03:00,100.466666666667,-1.43333333333333,1.17307534397518,307.688369302701
01/10/2017 04:00,100.5,-1.85,0.264885599502207,291.16366386015
01/10/2017 05:00,100.483333333333,-1.91666666666667,0,-9999
01/10/2017 06:00,100.45,-2.03333333333333,0,-9999
01/10/2017 07:00,100.483333333333,-2.16666666666667,0,-9999
01/10/2017 08:00,100.5,-1.98333333333333,0,-9999
01/10/2017 09:00,100.583333333333,-1.35,0,-9999
01/10/2017 10:00,100.65,-0.9,0,-9999
01/10/2017 11:00,100.7,-0.216666666666667,0,-9999
01/10/2017 12:00,100.7,0.15,0,-9999
01/10/2017 13:00,100.666666666667,-0.116666666666667,0,-9999
01/10/2017 14:00,100.8,0.5,0,-9999
01/10/2017 15:00,100.7,-0.0166666666666667,0.0660574287466781,295.229766962018
01/10/2017 16:00,100.65,-0.483333333333333,0.0328269251004069,82
01/10/2017 17:00,100.616666666667,-1.03333333333333,0.830693247059967,75.9805903941639
01/10/2017 18:00,100.5,-1.81666666666667,1.02142231894858,76.0725099372789
01/10/2017 19:00,100.5,-2.25,0.820970888198199,74.7014767548157
01/10/2017 20:00,100.433333333333,-2.66666666666667,1.99465427010452,318.646489365639
01/10/2017 21:00,100.35,-3.2,3.61084829873722,326.147581847734
01/10/2017 22:00,100.3,-3.5,4.26759242622173,324.616460366042
01/10/2017 23:00,100.233333333333,-3.8,4.3906398800625,327.721273605637
02/10/2017 00:00,100.116666666667,-3.93333333333333,2.92868119484775,339.146091004859
02/10/2017 01:00,90.45,-3.88333333333333,3.5641745975018,331.309567137868
02/10/2017 02:00,56.2833333333333,-3.35,4.44188240589609,330.756928761035
02/10/2017 03:00,40.1833333333333,-2.8,4.45138572684876,324.743400837802
02/10/2017 04:00,34.8333333333333,-2.53333333333333,5.25707343748466,324.932153617581
02/10/2017 05:00,27.2166666666667,-1.9,4.61849623059139,329.260424437011
02/10/2017 06:00,24.8833333333333,-1.68333333333333,5.3979637201718,328.173048530632
02/10/2017 07:00,25.2,-1.48333333333333,5.17744459471615,331.354531211348
02/10/2017 08:00,25.1166666666667,-0.95,4.41406185721453,329.584752912085
02/10/2017 09:00,25.4666666666667,-0.333333333333333,4.02372001841795,335.162844249288
02/10/2017 10:00,27.95,-0.0666666666666667,2.74817617387325,325.162767632139
02/10/2017 11:00,32.9666666666667,0.116666666666667,2.74760862489833,324.502128164948
02/10/2017 12:00,35.9833333333333,1.51666666666667,1.11171337701215,281.917480160322
02/10/2017 13:00,37.4166666666667,2.6,1.36543415118909,75.0247523224678
02/10/2017 14:00,46.2666666666667,3.48333333333333,1.02230994767603,67.5931111623696
02/10/2017 15:00,56.6166666666667,2.43333333333333,0.893164216721197,81.0147545859771
02/10/2017 16:00,66.4333333333333,1.28333333333333,1.91355604677925,88.0744903313174
02/10/2017 17:00,81.0333333333333,0.316666666666667,2.24494839366379,286.427442956809
02/10/2017 18:00,95.15,-0.55,2.28189844613167,298.405035027636
02/10/2017 19:00,100.533333333333,-0.233333333333333,5.25890495317812,315.661882538068
02/10/2017 20:00,100.65,0.05,4.65026350769809,313.53228103624
02/10/2017 21:00,100.75,0.3,4.1574408214395,306.070443044929
02/10/2017 22:00,100.8,0.3,3.56249701443815,294.204091337919
02/10/2017 23:00,100.833333333333,0.366666666666667,2.85792283121902,293.989760059996
03/10/2017 00:00,100.9,0.6,4.58020609843966,273.853428909622
03/10/2017 01:00,100.883333333333,0.583333333333333,5.70242194296332,275.761332167848
03/10/2017 02:00,100.8,0.583333333333333,5.79608500226403,278.965593423408
03/10/2017 03:00,100.466666666667,0.45,6.48320015140077,284.19616994796
03/10/2017 04:00,99.9666666666667,0.55,4.74328018752858,78.4363470787206
03/10/2017 05:00,99.9333333333333,0.55,6.22023526083038,279.719368257008
03/10/2017 06:00,99.9166666666667,0.4,4.01011246484478,292.796883922193
03/10/2017 07:00,92.3666666666667,0.8,2.9234345911714,64.2617156231283
03/10/2017 08:00,91.1833333333333,0.7,4.25520622203984,62.2127411426245
03/10/2017 09:00,91.8666666666667,0.9,8.61810777662162,68.8121536036274
03/10/2017 10:00,98.7333333333333,0.566666666666667,9.62642005986248,68.1959327216426
03/10/2017 11:00,94.6333333333333,1.25,8.44805000594197,65.1065353241167
03/10/2017 12:00,89.2,1.61666666666667,6.88773808307726,75.9046697772163
03/10/2017 13:00,100.4,-1.68333333333333,6.92154165453951,309.796918841303
03/10/2017 14:00,100.516666666667,-1.9,4.92009413511258,288.260163343037
03/10/2017 15:00,100.5,-1.71666666666667,4.52482878796314,277.459560450358
03/10/2017 16:00,91.3,-1.33333333333333,6.2089522385431,85.2977337939939
03/10/2017 17:00,71.25,-1.08333333333333,3.50790505932956,277.728903530609
03/10/2017 18:00,64.8333333333333,-1.86666666666667,4.23345487741148,280.170999579167
03/10/2017 19:00,63.5333333333333,-3.35,4.69219546332309,274.076461761877
03/10/2017 20:00,57.0833333333333,-3.96666666666667,5.8056366342406,288.089859994606
03/10/2017 21:00,53.55,-4.4,6.76140669110512,308.108851178853
03/10/2017 22:00,58.1333333333333,-4.93333333333333,6.8705223461821,312.307278339797
03/10/2017 23:00,45.0833333333333,-4.4,7.12451102576451,302.744555723306
04/10/2017 00:00,22.7833333333333,-2.85,6.83961572225389,308.916524854171
