Date,GS,LF,LT,N,WG,WR
01/10/2017 00:00,-9999,98.8,1.6,0,-9999,-9999
01/10/2017 01:00,-9999,98.8,1.63333333333333,0.2,-9999,-9999
01/10/2017 02:00,-9999,98.8,1.45,0.4,-9999,-9999
01/10/2017 03:00,-9999,98.8,1.08333333333333,0.6,-9999,-9999
01/10/2017 04:00,-9999,98.7166666666667,0.683333333333333,0.6,-9999,-9999
01/10/2017 05:00,-9999,98.7,0.45,0.5,-9999,-9999
01/10/2017 06:00,-9999,98.7,0.2,0.5,-9999,-9999
01/10/2017 07:00,-9999,98.7,0.05,0.9,-9999,-9999
01/10/2017 08:00,-9999,98.7,-0.0333333333333333,0.9,-9999,-9999
01/10/2017 09:00,-9999,98.7,0.366666666666667,0.9,-9999,-9999
01/10/2017 10:00,-9999,98.8,2.18333333333333,1.1,-9999,-9999
01/10/2017 11:00,-9999,96.2333333333333,2.25,0.4,-9999,-9999
01/10/2017 12:00,-9999,97.4166666666667,0.916666666666667,0,-9999,-9999
01/10/2017 13:00,-9999,98.8333333333333,1.28333333333333,0.1,-9999,-9999
01/10/2017 14:00,-9999,98.8,1.21666666666667,0.3,-9999,-9999
01/10/2017 15:00,-9999,98.8333333333333,1.26666666666667,0.2,-9999,-9999
01/10/2017 16:00,-9999,98.8,1.13333333333333,0.1,-9999,-9999
01/10/2017 17:00,-9999,98.8,1.08333333333333,0,-9999,-9999
01/10/2017 18:00,-9999,98.8,0.833333333333333,0,-9999,-9999
01/10/2017 19:00,-9999,98.7,0.683333333333333,0,-9999,-9999
01/10/2017 20:00,-9999,98.7,0.516666666666667,0.1,-9999,-9999
01/10/2017 21:00,-9999,98.7,0.45,0,-9999,-9999
01/10/2017 22:00,-9999,98.7,0.283333333333333,0,-9999,-9999
01/10/2017 23:00,-9999,98.7,-0.1,0,-9999,-9999
02/10/2017 00:00,-9999,98.7,-0.516666666666667,0,-9999,-9999
02/10/2017 01:00,-9999,96.8666666666667,-0.633333333333333,0,-9999,-9999
02/10/2017 02:00,-9999,72.1333333333333,-0.0333333333333333,0,-9999,-9999
02/10/2017 03:00,-9999,50.3333333333333,0.466666666666667,0,-9999,-9999
02/10/2017 04:00,-9999,34.9666666666667,0.766666666666667,0,-9999,-9999
02/10/2017 05:00,-9999,32.55,0.333333333333333,0,-9999,-9999
02/10/2017 06:00,-9999,31.0333333333333,0.383333333333333,0,-9999,-9999
