Date,N,WG,WR,LF,LT,GS,CloudTrans
25/08/2019 23:00,0.000000,1.933333,227.408381,99.200000,12.366667,0.000000,-9999.000000
26/08/2019 00:00,0.000000,2.000000,226.861852,99.183333,12.016667,0.000000,-9999.000000
26/08/2019 01:00,0.000000,2.116667,233.766646,99.200000,11.683333,0.000000,-9999.000000
26/08/2019 02:00,0.000000,2.433333,230.344877,99.050000,11.650000,0.000000,-9999.000000
26/08/2019 03:00,0.000000,1.933333,229.175726,98.766667,11.566667,0.000000,-9999.000000
26/08/2019 04:00,0.000000,1.983333,230.300024,98.766667,11.216667,0.000000,-9999.000000
26/08/2019 05:00,0.000000,2.266667,230.275373,98.233333,10.950000,2.083333,0.100000
26/08/2019 06:00,0.000000,1.900000,229.151175,97.700000,11.016667,26.116667,0.100000
26/08/2019 07:00,0.000000,1.400000,228.193617,99.066667,11.050000,52.283333,0.100000
26/08/2019 08:00,0.000000,0.983333,178.863780,97.500000,13.166667,337.216667,0.641244
26/08/2019 09:00,0.000000,0.966667,130.754443,79.050000,16.783333,587.600000,0.641244
26/08/2019 10:00,0.000000,1.383333,67.823274,66.200000,19.116667,765.600000,0.641244
26/08/2019 11:00,0.000000,2.116667,51.363187,63.266667,20.316667,808.866667,0.641244
26/08/2019 12:00,0.000000,1.916667,40.299222,60.700000,21.000000,674.283333,0.674918
26/08/2019 13:00,0.000000,1.150000,65.884078,65.583333,20.183333,327.583333,0.674918
26/08/2019 14:00,0.000000,1.333333,41.742411,62.050000,21.250000,516.900000,0.674918
26/08/2019 15:00,0.100000,1.516667,238.413039,79.850000,18.616667,92.750000,0.674918
26/08/2019 16:00,0.000000,3.066667,208.589272,75.766667,17.766667,183.100000,0.674918
26/08/2019 17:00,0.000000,1.316667,207.179021,70.866667,19.083333,156.533333,0.630694
26/08/2019 18:00,0.000000,1.433333,34.280504,88.016667,17.450000,97.666667,0.586469
26/08/2019 19:00,0.200000,0.533333,119.826280,97.200000,15.716667,7.516667,0.542245
26/08/2019 20:00,0.000000,0.883333,224.370570,99.116667,14.683333,0.000000,0.498020
26/08/2019 21:00,0.000000,1.633333,232.993888,97.933333,13.600000,0.000000,0.453796
26/08/2019 22:00,0.000000,2.100000,230.113255,95.566667,13.066667,0.000000,0.409571
26/08/2019 23:00,0.000000,2.016667,226.560974,93.850000,12.783333,0.000000,0.365347
27/08/2019 00:00,0.000000,1.933333,226.188188,94.300000,12.250000,0.000000,0.321122
27/08/2019 01:00,0.000000,2.283333,231.157918,94.683333,11.883333,0.000000,0.276898
27/08/2019 02:00,0.000000,1.716667,227.335022,94.850000,11.550000,0.000000,0.232673
27/08/2019 03:00,0.000000,2.100000,229.529447,96.500000,11.083333,0.000000,0.188449
27/08/2019 04:00,0.000000,1.800000,224.925202,96.816667,10.633333,0.000000,0.144224
27/08/2019 05:00,0.000000,2.233333,230.167574,98.433333,10.250000,2.116667,0.100000
27/08/2019 06:00,0.000000,2.350000,226.417880,94.850000,11.033333,24.783333,0.100000
27/08/2019 07:00,0.000000,1.733333,232.251909,95.916667,11.233333,47.000000,0.100000
27/08/2019 08:00,0.000000,0.933333,152.876792,93.333333,13.583333,336.233333,0.635482
27/08/2019 09:00,0.000000,1.350000,118.329884,73.333333,17.500000,597.900000,0.635482
27/08/2019 10:00,0.000000,1.533333,61.790878,67.216667,18.733333,731.850000,0.635482
27/08/2019 11:00,0.000000,2.033333,59.720479,63.200000,20.250000,811.800000,0.635482
27/08/2019 12:00,0.000000,2.300000,47.720091,60.066667,21.483333,858.483333,1.000000
27/08/2019 13:00,0.000000,2.683333,41.348411,53.866667,22.433333,819.100000,1.000000
27/08/2019 14:00,0.000000,2.383333,39.072642,46.233333,23.400000,731.816667,1.000000
27/08/2019 15:00,0.000000,2.450000,45.825134,40.100000,24.133333,595.183333,1.000000
27/08/2019 16:00,0.000000,2.483333,25.578075,36.150000,24.433333,431.566667,1.000000
27/08/2019 17:00,0.000000,1.033333,281.601736,49.216667,21.683333,138.266667,0.931889
27/08/2019 18:00,0.000000,2.000000,232.822973,58.933333,18.950000,37.416667,0.863777
27/08/2019 19:00,0.000000,2.466667,233.768771,66.633333,17.566667,1.483333,0.795666
27/08/2019 20:00,0.000000,2.783333,232.798962,71.216667,16.383333,0.000000,0.727555
27/08/2019 21:00,0.000000,2.566667,229.185820,72.900000,15.633333,0.000000,0.659443
27/08/2019 22:00,0.000000,2.583333,224.083511,76.350000,14.950000,0.000000,0.591332
27/08/2019 23:00,0.000000,2.483333,232.438255,77.650000,14.666667,0.000000,0.523220
28/08/2019 00:00,0.000000,2.350000,231.374293,78.566667,14.566667,0.000000,0.455109
28/08/2019 01:00,0.000000,2.283333,229.996740,82.050000,14.133333,0.000000,0.386998
28/08/2019 02:00,0.000000,2.183333,228.937087,83.516667,13.966667,0.000000,0.318886
28/08/2019 03:00,0.000000,2.333333,227.256192,84.833333,13.866667,0.000000,0.250775
28/08/2019 04:00,0.000000,1.850000,228.937420,87.433333,13.700000,0.000000,0.182664
28/08/2019 05:00,0.000000,1.883333,232.127680,87.183333,14.016667,1.750000,0.114552
28/08/2019 06:00,0.000000,1.783333,230.601763,88.783333,14.233333,42.900000,0.114552
28/08/2019 07:00,0.000000,1.683333,230.706263,86.333333,15.400000,102.533333,0.114552
28/08/2019 08:00,0.000000,1.066667,181.563334,80.683333,17.383333,288.733333,0.508882
28/08/2019 09:00,0.000000,1.433333,74.804906,66.433333,19.566667,529.450000,0.508882
28/08/2019 10:00,0.000000,1.333333,64.490443,63.683333,20.683333,639.633333,0.508882
28/08/2019 11:00,0.000000,1.833333,31.674515,64.216667,21.166667,524.633333,0.508882
28/08/2019 12:00,0.000000,1.016667,61.625991,64.283333,21.383333,302.850000,0.609201
28/08/2019 13:00,0.000000,1.116667,190.132473,68.383333,21.216667,262.500000,0.609201
28/08/2019 14:00,0.000000,1.116667,74.936393,61.350000,22.033333,317.466667,0.609201
28/08/2019 15:00,0.100000,1.216667,173.932148,83.283333,20.716667,264.766667,0.609201
28/08/2019 16:00,0.000000,1.133333,92.794635,74.600000,19.866667,165.500000,0.609201
28/08/2019 17:00,0.000000,0.766667,103.201574,77.116667,19.816667,105.466667,0.570565
28/08/2019 18:00,0.000000,0.816667,170.601751,82.066667,18.683333,38.866667,0.531929
28/08/2019 19:00,0.000000,1.583333,218.968463,89.116667,17.083333,1.783333,0.493292
28/08/2019 20:00,0.000000,2.250000,234.108509,85.483333,16.933333,0.000000,0.454656
28/08/2019 21:00,0.000000,1.300000,15.196339,84.600000,17.033333,0.000000,0.416020
28/08/2019 22:00,0.000000,1.183333,196.106338,91.833333,15.683333,0.000000,0.377384
28/08/2019 23:00,0.000000,1.583333,241.344052,92.666667,15.133333,0.000000,0.338748
29/08/2019 00:00,0.000000,1.683333,225.984014,89.100000,15.233333,0.000000,0.300111
29/08/2019 01:00,0.000000,0.700000,258.444324,89.666667,14.950000,0.000000,0.261475
29/08/2019 02:00,0.000000,1.350000,222.126048,94.183333,14.100000,0.000000,0.222839
29/08/2019 03:00,0.000000,2.033333,232.821541,88.366667,14.500000,0.000000,0.184203
29/08/2019 04:00,0.000000,1.800000,225.579088,86.900000,14.650000,0.000000,0.145567
29/08/2019 05:00,0.000000,1.683333,224.370818,89.183333,14.550000,0.666667,0.106930
29/08/2019 06:00,0.000000,1.233333,229.134362,90.800000,14.666667,26.333333,0.106930
29/08/2019 07:00,0.000000,0.833333,215.031460,93.516667,15.250000,86.133333,0.106930
29/08/2019 08:00,0.000000,0.783333,215.781578,80.600000,16.983333,209.783333,0.382672
29/08/2019 09:00,0.000000,0.750000,92.724714,66.450000,18.850000,475.516667,0.382672
29/08/2019 10:00,0.000000,1.250000,54.504409,61.433333,20.233333,427.266667,0.382672
29/08/2019 11:00,0.000000,1.383333,58.625985,63.550000,20.266667,380.650000,0.382672
29/08/2019 12:00,0.000000,1.433333,109.528003,65.933333,20.366667,378.600000,0.410116
29/08/2019 13:00,0.000000,1.016667,196.586552,71.750000,19.883333,184.633333,0.410116
29/08/2019 14:00,0.000000,1.683333,223.889211,77.116667,19.133333,163.766667,0.410116
29/08/2019 15:00,0.000000,4.233333,200.646065,88.333333,17.100000,117.083333,0.410116
29/08/2019 16:00,0.000000,2.900000,211.564561,85.200000,17.683333,139.500000,0.410116
29/08/2019 17:00,0.000000,1.416667,226.463930,84.916667,17.933333,90.166667,0.386261
29/08/2019 18:00,0.000000,2.116667,232.726055,85.500000,17.050000,33.266667,0.362406
29/08/2019 19:00,0.000000,2.300000,241.633965,85.316667,15.566667,1.583333,0.338551
29/08/2019 20:00,0.000000,2.566667,232.623605,84.883333,14.500000,0.000000,0.314696
29/08/2019 21:00,0.000000,2.150000,223.784288,84.566667,13.816667,0.000000,0.290841
