Date,N,WG,WR,LF,LT,GS,CloudTrans
25/08/2019 23:00,-9999.000000,1.166667,109.225076,85.433333,5.983333,-9999.000000,-9999.000000
26/08/2019 00:00,-9999.000000,0.950000,111.288198,93.200000,5.650000,-9999.000000,-9999.000000
26/08/2019 01:00,-9999.000000,0.883333,78.098989,89.950000,5.616667,-9999.000000,-9999.000000
26/08/2019 02:00,-9999.000000,0.883333,93.542849,86.466667,5.566667,-9999.000000,-9999.000000
26/08/2019 03:00,-9999.000000,1.216667,122.182215,80.633333,5.750000,-9999.000000,-9999.000000
26/08/2019 04:00,-9999.000000,0.683333,59.182863,78.033333,5.933333,-9999.000000,-9999.000000
26/08/2019 05:00,-9999.000000,0.483333,86.609287,75.450000,5.766667,-9999.000000,-9999.000000
26/08/2019 06:00,-9999.000000,1.266667,92.195709,74.666667,5.716667,-9999.000000,-9999.000000
26/08/2019 07:00,-9999.000000,0.933333,61.653389,71.750000,6.416667,-9999.000000,-9999.000000
26/08/2019 08:00,-9999.000000,0.933333,126.992536,63.333333,7.733333,-9999.000000,-9999.000000
26/08/2019 09:00,-9999.000000,0.650000,216.671264,58.933333,8.883333,-9999.000000,-9999.000000
26/08/2019 10:00,-9999.000000,0.683333,267.442315,57.800000,8.900000,-9999.000000,-9999.000000
26/08/2019 11:00,-9999.000000,1.500000,287.166103,60.100000,9.266667,-9999.000000,-9999.000000
26/08/2019 12:00,-9999.000000,1.750000,297.000102,64.633333,9.316667,-9999.000000,-9999.000000
26/08/2019 13:00,-9999.000000,1.650000,296.836357,70.733333,9.400000,-9999.000000,-9999.000000
26/08/2019 14:00,-9999.000000,2.083333,299.660259,68.733333,10.016667,-9999.000000,-9999.000000
26/08/2019 15:00,-9999.000000,2.450000,294.333567,75.866667,9.600000,-9999.000000,-9999.000000
26/08/2019 16:00,-9999.000000,1.266667,325.255882,84.000000,7.916667,-9999.000000,-9999.000000
26/08/2019 17:00,-9999.000000,1.266667,282.621418,93.233333,7.750000,-9999.000000,-9999.000000
26/08/2019 18:00,-9999.000000,0.633333,332.435330,90.583333,7.583333,-9999.000000,-9999.000000
26/08/2019 19:00,-9999.000000,0.883333,271.991095,92.016667,7.016667,-9999.000000,-9999.000000
26/08/2019 20:00,-9999.000000,0.783333,235.489776,99.000000,6.616667,-9999.000000,-9999.000000
26/08/2019 21:00,-9999.000000,0.483333,108.503059,87.666667,6.566667,-9999.000000,-9999.000000
26/08/2019 22:00,-9999.000000,0.900000,112.775465,79.100000,6.850000,-9999.000000,-9999.000000
26/08/2019 23:00,-9999.000000,0.800000,132.200008,75.550000,7.033333,-9999.000000,-9999.000000
27/08/2019 00:00,-9999.000000,1.166667,116.335575,74.483333,6.833333,-9999.000000,-9999.000000
27/08/2019 01:00,-9999.000000,1.633333,106.168262,74.033333,6.650000,-9999.000000,-9999.000000
27/08/2019 02:00,-9999.000000,1.500000,114.829219,73.583333,6.400000,-9999.000000,-9999.000000
27/08/2019 03:00,-9999.000000,1.383333,115.364343,66.800000,6.433333,-9999.000000,-9999.000000
27/08/2019 04:00,-9999.000000,1.950000,111.991848,59.666667,6.516667,-9999.000000,-9999.000000
