! Horizon file for met station or point # 15050WS
! All measures in degrees


AngleFromNorthClockwise,HorizonHeight
0,3.2052159310135
22.5,0
45,1.42875131655368
67.5,6.50217056336185
90,15.8545464323783
112.5,15.8545464323783
135,15.8545464323783
157.5,0
180,0.286957975358972
202.5,0.479790454262543
225,1.56047822784198
247.5,0
270,1.76415230157237
292.5,3.47623332506997
315,3.49608446968778
337.5,2.41380841537735
